RepRapFirmware height map file v2 generated at 2020-12-23 13:47, min error -0.129, max error 0.076, mean -0.047, deviation 0.046
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
0.00,270.00,5.00,255.00,-1.00,33.75,31.25,9,9
 -0.129, -0.111, -0.098, -0.069, -0.055, -0.043, -0.054, -0.058, -0.086
 -0.113, -0.098, -0.076, -0.064, -0.060, -0.062, -0.074, -0.076, -0.111
 -0.098, -0.090, -0.076, -0.039, -0.045, -0.046, -0.068, -0.082, -0.119
 -0.058, -0.045, -0.040, -0.044, -0.035, -0.039, -0.060, -0.080, -0.113
 -0.015, -0.035, -0.031, -0.031, -0.026, -0.033, -0.037, -0.080, -0.118
  0.026,  0.016,  0.009, -0.008,  0.012, -0.023, -0.024, -0.078, -0.110
  0.076,  0.054,  0.016,  0.001,  0.010, -0.014, -0.017, -0.075, -0.102
  0.076,  0.036,  0.030,  0.003,  0.005, -0.013, -0.025, -0.060, -0.100
  0.009, -0.060, -0.062, -0.059, -0.049, -0.062, -0.058, -0.081, -0.125
